Unit,0,1,2
M1U1,0,3,15
M1U1,0,3,15
M1U1,0,5,4
M1U1,9,6,3
M1U1,9,6,3
M1U2,0,10,8
M1U2,0,5,3
M1U2,0,5,3
M1U2,10,5,3
M1U2,10,5,3
M1U3,10,5,3
M1U3,0,3,15
M1U3,0,5,4
M1U3,9,6,3
M1U3,9,6,3
M2U1,0,10,8
M2U1,0,5,3
M2U1,0,5,3
M2U1,10,5,3
M2U1,10,5,3
M2U2,10,5,3
M2U2,0,3,15
M2U2,0,5,4
M2U2,9,6,3
M2U2,9,6,3
M2U3,0,10,8
M2U3,0,5,3
M2U3,0,5,3
M2U3,10,5,3
M2U3,10,5,3
M3U1,10,5,3
M3U1,0,3,15
M3U1,0,5,4
M3U1,9,6,3
M3U2,9,6,3
M3U2,0,10,8
M3U2,0,5,3
M3U2,0,5,3
M3U3,10,5,3
M3U3,10,5,3
M3U3,10,5,3
M3U3,0,3,15
M4U1,0,5,4
M4U1,9,6,3
M4U1,9,6,3
M4U1,0,10,8
M4U2,0,5,3
M4U2,0,5,3
M4U2,10,5,3
M4U2,10,5,3
M4U2,10,5,3
